title,imdb_id,poster_url,language,original_title,overview,release_date,tagline,length,rating,num_votes
30 Years and 15 Minutes,tt12865416,https://image.tmdb.org/t/p/w500//t7mVp3gGXH0K7aUx2lCgktMlxfH.jpg,ro,30 de ani și 15 minute,"Romania is on the last place in Europe in terms of highway kilometers, but on the first place in the number of deaths in road accidents. Entrepreneur Stefan Mandachi builds 1 meter of highway on his private property.",2020-10-02,,95,9.4,1962
Jibon Theke Neya,tt0989831,https://image.tmdb.org/t/p/w500//pES4eUEWPjySmp6f59I3RzpEP1I.jpg,bn,জীবন থেকে নেয়া,"A political satire of Bangladesh under the rule of Pakistan metaphorically, where an autocratic woman in one family symbolizes the political dictatorship of Ayub Khan in East Pakistan.",1970-03-09,Perfect depiction of the idea that an individual is a nation and a house represents a country.,150,9.3,1852
The Shawshank Redemption,tt0111161,https://image.tmdb.org/t/p/w500//q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,en,,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,Fear can hold you prisoner. Hope can set you free.,142,9.3,2339843
The Chaos Class,tt0252487,https://image.tmdb.org/t/p/w500//n58QmaMaw7kN3sg2EEV9HMq0jkR.jpg,tr,Hababam Sınıfı,"Lazy, uneducated students mostly coming from money, share a very close band. They live together in the dormitory of this private highschool, where they daily plan their latest pranks on teachers or the other classes. When a new and obviously strict headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",1975-04-01,,87,9.3,37254
The Godfather,tt0068646,https://image.tmdb.org/t/p/w500//3bhkrj58Vtu7enYsRolD1fZdja1.jpg,en,,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,An offer you can't refuse.,175,9.2,1618205
CM101MMXI Fundamentals,tt2592910,https://image.tmdb.org/t/p/w500//84GjqdUXHFDc8VQLcL1vBRsRmbK.jpg,tr,,"The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about relationships, humankind's struggle with the technology and professional life. Yilmaz proves us that a food delivery or even a funeral might be amusing when considered correctly. Written by Elmalma Brand Communication",2013-01-02,,139,9.2,43923
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",tt6842524,https://image.tmdb.org/t/p/w500//zt209FhPTnPWieOYir6wCPJDg5B.jpg,en,,"""Hare Krishna!"" is a documentary on the life of Srila Prabhupada, the 70-year-old Indian Swami who arrives in America without support or money and ignites a worldwide spiritual phenomenon, now known as the Hare Krishna Movement.",2017-06-16,,90,9.2,1329
Aguner Poroshmoni,tt0383177,https://image.tmdb.org/t/p/w500//ygJopYcwwi8wbZTaUFav5u6Rz8L.jpg,bn,আগুনের পরশমণি,A middle-class family shelters a freedom fighter in war-torn Dhaka.,1995-05-25,,123,9.1,2764
Love on a Leash,tt2185022,https://image.tmdb.org/t/p/w500//ywXyXQvJLbfM0yDNuNETInAtRZB.jpg,en,,A dog who strives to become a man seeks a woman who will love him enough for the transformation to take place.,2011-07-21,The world's best trick.,85,9.1,6800
Aynabaji,tt5354160,https://image.tmdb.org/t/p/w500//630pJxgLGzL3ZAoZWnsjwJwviTD.jpg,bn,আয়নাবাজি,"Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne out of a society that doesn't give him a chance to follow his passion of acting, but forces him to act in the real life. Falling in love with the girl next door changes his life equation and he decides to end this career with one last performance. But this one takes him too deep in the rabbit hole. The story unfolds on how an underdog survives in a society that is merciless and struggles his way out from the clutch of crime game which he is a part too.",2016-09-30,,144,9.1,23064
Dominion,tt5773402,https://image.tmdb.org/t/p/w500//sipSZ6Gcuz6O7gzQbLdskpwjh7V.jpg,en,,"Exposing the dark underbelly of modern animal agriculture through drones, hidden & handheld cameras, the feature-length film explores the morality and validity of our dominion over the animal kingdom.",2018-03-29,An Australian Documentary,120,9.1,2489
The Transcendents,tt5980638,https://image.tmdb.org/t/p/w500//8p9ZqjX7Y51CtSq0FKSiUXRMsTw.jpg,en,,"Roger, a Rasputin-like drifter, is in search of the ultimate indie-rock band, The Transcendents. What he finds is less than transcendent: a band who has all but abandoned society, a host of unpleasant memories, and more questions than answers in search of his own existential fulfillment. Set in the Wonderland of America's Do-it-Yourself music scene, The Transcendents is a dark comedic fairytale that straddles the line between the absurd and the all too real.",2018-04-18,,96,9.1,1468
Mayabazar,tt0249795,https://image.tmdb.org/t/p/w500//gOPX8hmm0haajccTeG1WiuN8M49.jpg,te,,"The critically acclaimed Mayabazar is considered one of the enduring classics of Indian Cinema. The film was touted as a landmark achievement in Indian film's cinematography, art direction and visual effects with the technology available at the time.The music delivered by Saluri Rajeswara Rao (uncredited) and Ghantasala has been extremely popular. The film stars Gummadi Venkateswara Rao as Balarama, NTR as Krishna, ANR as Abhimanyu, S. V. Ranga Rao as Ghatotkacha, and Savitri as Vatsala/Sasirekha. A digitally remastered colour version was released in 2010.",1957-03-27,,181,9.1,4050
Little Baby,tt8569206,https://image.tmdb.org/t/p/w500//jtJpWhS4HXXXKNjkPg3W1TZciA5.jpg,hi,,"Little Baby is a story of unconditional love between a father and daughter. Sasha is a 19 year old girl who loves to experiment with her life and in this, she forgets she has a loving father and a mother.",,,105,9.1,2103
Ramayana: The Legend of Prince Rama,tt0259534,https://image.tmdb.org/t/p/w500//vwUviWUCb0cfw8GtR7G0YiWf7B1.jpg,hi,,"1992 Indo-Japanese traditional animation feature film directed by Yugo Sako and Ram Mohan, produced by Sako and Krishna Shah and based on the Indian epic the Ramayana.",1992-12-05,,135,9,2176
Dangerous Charm,tt0283524,https://image.tmdb.org/t/p/w500//mgZ85yUowZLJ8lyrwlGkwcjW1aH.jpg,bg,Опасен чар,"He is well educated, charming, and gallant - a dream for each lonely lady. In reality he is a skillful swindler, who robs naive women. Cheating merchants with guilty consciences are his targets as well. This is the elusive protagonist of the movie. He constantly changes his name, stages his own death, and travels from town to town. His exploits are myriad and his life is an endless adventure. Yet, he remains an amiable swindler, an unrealized actor, whose only goal is make his life more interesting.",1984-06-18,,87,9,1632
12 Angry Men,tt0050083,https://image.tmdb.org/t/p/w500//wh0f80G6GZvYBNiYmvqFngt3IYq.jpg,en,,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,Life is in their hands. Death is on their minds.,97,9,688801
Sandhesam,tt0353975,https://image.tmdb.org/t/p/w500//tF1Y52WGqX7t3Lj35oQC6IL3ENB.jpg,ml,സന്ദേശം,"After his retirement, Raghavan Nair (Thilakan) is back at his home. His long cherished dream to spend his retired life along with his family is thwarted after seeing his two sons brawling each other over their political differences.",1991-02-04,The message,137,9,3579
The Dark Knight,tt0468569,https://image.tmdb.org/t/p/w500//qJ2tW6WMUDux911r6m7haRef0WH.jpg,en,,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,Why So Serious?,152,9,2300431
